SF3,
6.15,0
6.16,0.000577
6.17,0.00115
6.18,0.00173
6.19,0.00231
6.2,0.00289
6.21,0.00346
6.22,0.00404
6.23,0.00462
6.24,0.0052
6.25,0.00577
6.26,0.00635
6.27,0.00693
6.28,0.0075
6.29,0.00808
6.3,0.00866
6.31,0.00924
6.32,0.00981
6.33,0.0104
6.34,0.011
6.35,0.0115
6.36,0.0121
6.37,0.0127
6.38,0.0154
6.39,0.0186
6.4,0.0223
6.41,0.0265
6.42,0.0313
6.43,0.0367
6.44,0.0428
6.45,0.0497
6.46,0.0574
6.47,0.066
6.48,0.0756
6.49,0.0862
6.5,0.0979
6.51,0.111
6.52,0.125
6.53,0.141
6.54,0.158
6.55,0.176
6.56,0.196
6.57,0.218
6.58,0.242
6.59,0.268
6.6,0.296
6.61,0.326
6.62,0.358
6.63,0.393
6.64,0.43
6.65,0.47
6.66,0.513
6.67,0.559
6.68,0.608
6.69,0.66
6.7,0.716
6.71,0.775
6.72,0.837
6.73,0.904
6.74,0.974
6.75,1.05
6.76,1.13
6.77,1.21
6.78,1.3
6.79,1.39
6.8,1.49
6.81,1.6
6.82,1.7
6.83,1.82
6.84,1.94
6.85,2.07
6.86,2.2
6.87,2.34
6.88,2.49
6.89,2.64
6.9,2.8
6.91,2.97
6.92,3.14
6.93,3.33
6.94,3.52
6.95,3.72
6.96,3.93
6.97,4.15
6.98,4.37
6.99,4.61
7,4.86
7.01,5.11
7.02,5.38
7.03,5.66
7.04,5.95
7.05,6.25
7.06,6.56
7.07,6.88
7.08,7.22
7.09,7.56
7.1,7.92
7.11,8.3
7.12,8.68
7.13,9.09
7.14,9.5
7.15,9.93
7.16,10.4
7.17,10.8
7.18,11.3
7.19,11.8
7.2,12.1
7.21,12.5
7.22,12.8
7.23,13.2
7.24,13.5
7.25,13.9
7.26,14.3
7.27,14.7
7.28,15
7.29,15.4
7.3,15.8
7.31,16.2
7.32,16.7
7.33,17.1
7.34,17.5
7.35,17.9
7.36,18.4
7.37,18.8
7.38,19.3
7.39,19.7
7.4,20.2
7.41,20.7
7.42,21.2
7.43,21.7
7.44,22.2
7.45,22.7
7.46,23.2
7.47,23.7
7.48,24.2
7.49,24.8
7.5,25.3
7.51,25.9
7.52,26.4
7.53,27
7.54,27.6
7.55,28.2
7.56,28.7
7.57,29.3
7.58,30
7.59,30.6
7.6,31.2
7.61,31.8
7.62,32.5
7.63,33.1
7.64,33.8
7.65,34.5
7.66,35.1
7.67,35.8
7.68,36.5
7.69,37.2
7.7,37.9
7.71,38.6
7.72,39.4
7.73,40.1
7.74,40.9
7.75,41.6
7.76,42.4
7.77,43.2
7.78,43.9
7.79,44.7
7.8,45.5
7.81,46.3
7.82,47.2
7.83,48
7.84,48.8
7.85,49.7
7.86,50.6
7.87,51.4
7.88,52.3
7.89,53.6
7.9,54.9
7.91,56.2
7.92,57.6
7.93,59
7.94,60.4
7.95,61.8
7.96,63.3
7.97,64.8
7.98,66.3
7.99,67.8
8,69.4
8.01,71
8.02,72.6
8.03,74.3
8.04,76
8.05,77.7
8.06,79.4
8.07,81.2
8.08,83
8.09,84.1
8.1,85.2
8.11,86.3
8.12,87.5
8.13,88.6
8.14,89.8
8.15,90.9
8.16,92.1
8.17,93.3
8.18,94.4
8.19,95.6
8.2,96.8
8.21,98.1
8.22,99.3
8.23,101
8.24,102
8.25,103
8.26,104
8.27,106
8.28,107
8.29,108
8.3,109
8.31,111
8.32,112
8.33,113
8.34,115
8.35,116
8.36,117
8.37,119
8.38,120
8.39,122
8.4,123
8.41,124
8.42,126
8.43,127
8.44,128
8.45,129
8.46,131
8.47,132
8.48,133
8.49,135
8.5,136
8.51,137
8.52,139
8.53,140
8.54,141
8.55,143
8.56,144
8.57,146
8.58,148
8.59,150
8.6,152
8.61,154
8.62,156
8.63,158
8.64,160
8.65,163
8.66,165
8.67,167
8.68,169
8.69,171
8.7,174
8.71,176
8.72,178
8.73,181
8.74,183
8.75,185
8.76,188
8.77,190
8.78,193
8.79,195
8.8,197
8.81,199
8.82,201
8.83,204
8.84,206
8.85,208
8.86,210
8.87,212
8.88,215
8.89,217
8.9,220
8.91,222
8.92,225
8.93,227
8.94,230
8.95,233
